('Calibration Fields_Raw_DN_Signal_597', [0.0, 188.6628])
('Calibration Fields_Raw_DN_Signal_596', [0.0, 100.71984])
('Calibration Fields_Raw_DN_Signal_595', [0.0, 113.096535])
('Calibration Fields_Raw_DN_Signal_594', [0.0, 112.19125])
('Calibration Fields_Raw_DN_Signal_593', [0.0, 109.3399])
('Calibration Fields_Raw_DN_Signal_592', [0.0, 114.76893])
('Calibration Fields_Raw_DN_Signal_458', [0.0, 114.083885])
('Calibration Fields_Raw_DN_Signal_459', [0.0, 114.099785])
('Calibration Fields_Raw_DN_Signal_694', [0.0, 111.4651])
('Calibration Fields_Raw_DN_Signal_695', [0.0, 113.75783])
('Calibration Fields_Raw_DN_Signal_696', [0.0, 105.09827])
('Calibration Fields_Raw_DN_Signal_697', [0.0, 107.37405])
('Calibration Fields_Raw_DN_Signal_690', [0.0, 102.10371])
('Calibration Fields_Raw_DN_Signal_691', [0.0, 102.18597])
('Calibration Fields_Raw_DN_Signal_692', [0.0, 102.857956])
('Calibration Fields_Raw_DN_Signal_693', [0.0, 102.03813])
('Calibration Fields_Raw_DN_Signal_755', [0.0, 114.654686])
('Calibration Fields_Raw_DN_Signal_754', [0.0, 111.460945])
('Calibration Fields_Raw_DN_Signal_757', [0.0, 107.37937])
('Calibration Fields_Raw_DN_Signal_756', [0.0, 105.12521])
('Calibration Fields_Raw_DN_Signal_698', [0.0, 111.82423])
('Calibration Fields_Raw_DN_Signal_699', [0.0, 114.08616])
('Calibration Fields_Raw_DN_Signal_753', [0.0, 102.06765])
('Calibration Fields_Raw_DN_Signal_752', [0.0, 101.157])
('Calibration Fields_Raw_DN_Signal_296', [0.0, 114.051895])
('Calibration Fields_Raw_DN_Signal_878', [20.54996, 101.94834])
('Calibration Fields_Raw_DN_Signal_297', [0.0, 102.46323])
('Calibration Fields_Raw_DN_Signal_231', [20.704996, 114.545555])
('Calibration Fields_Raw_DN_Signal_879', [19.599354, 101.88508])
('Calibration Fields_Raw_DN_Signal_221', [0.0, 109.092064])
('Calibration Fields_Raw_DN_Signal_220', [20.564283, 114.37014])
('Calibration Fields_Raw_DN_Signal_388', [0.0, 102.02672])
('Calibration Fields_Raw_DN_Signal_389', [0.0, 101.40383])
('Calibration Fields_Raw_DN_Signal_953', [21.279142, 101.68956])
('Calibration Fields_Raw_DN_Signal_224', [17.943573, 100.80542])
('Calibration Fields_Raw_DN_Signal_227', [0.0, 115.010895])
('Calibration Fields_Raw_DN_Signal_226', [19.351292, 115.01457])
('Calibration Fields_Raw_DN_Signal_229', [19.631973, 114.95538])
('Calibration Fields_Raw_DN_Signal_228', [0.0, 114.96283])
('Calibration Fields_Raw_DN_Signal_380', [0.0, 114.95911])
('Calibration Fields_Raw_DN_Signal_381', [0.0, 114.88782])
('Calibration Fields_Raw_DN_Signal_386', [0.0, 114.051895])
('Calibration Fields_Raw_DN_Signal_387', [0.0, 101.74354])
('Calibration Fields_Raw_DN_Signal_384', [0.0, 114.50855])
('Calibration Fields_Raw_DN_Signal_385', [0.0, 114.45873])
('Calibration Fields_Raw_DN_Signal_254', [0.0, 101.56432])
('Calibration Fields_Raw_DN_Signal_255', [0.0, 101.577])
('Calibration Fields_Raw_DN_Signal_256', [0.0, 102.00152])
('Calibration Fields_Raw_DN_Signal_257', [0.0, 115.01457])
('Calibration Fields_Raw_DN_Signal_250', [0.0, 114.462906])
('Calibration Fields_Raw_DN_Signal_251', [0.0, 109.261154])
('Calibration Fields_Raw_DN_Signal_252', [0.0, 101.50032])
('Calibration Fields_Raw_DN_Signal_253', [21.441849, 101.847145])
('Calibration Fields_Raw_DN_Signal_315', [14.308608, 103.941])
('Calibration Fields_Raw_DN_Signal_314', [0.0, 101.055336])
('Calibration Fields_Raw_DN_Signal_317', [20.278591, 114.99247])
('Calibration Fields_Raw_DN_Signal_316', [0.0, 101.45625])
('Calibration Fields_Raw_DN_Signal_258', [0.0, 114.96283])
('Calibration Fields_Raw_DN_Signal_310', [21.0721, 114.376526])
('Calibration Fields_Raw_DN_Signal_313', [0.0, 102.28826])
('Calibration Fields_Raw_DN_Signal_312', [20.416393, 111.4651])
('Calibration Fields_Raw_DN_Signal_522', [0.0, 113.096535])
('Calibration Fields_Raw_DN_Signal_523', [0.0, 114.378654])
('Calibration Fields_Raw_DN_Signal_520', [0.0, 114.070206])
('Calibration Fields_Raw_DN_Signal_271', [22.091797, 101.80408])
('Calibration Fields_Raw_DN_Signal_526', [0.0, 103.04624])
('Calibration Fields_Raw_DN_Signal_527', [0.0, 106.03844])
('Calibration Fields_Raw_DN_Signal_524', [0.0, 109.173904])
('Calibration Fields_Raw_DN_Signal_525', [0.0, 103.9115])
('Calibration Fields_Raw_DN_Signal_528', [0.0, 114.98878])
('Calibration Fields_Raw_DN_Signal_529', [0.0, 114.94793])
('Satellite Telemetry Data_Condition_monitor_36', [2.086038572805439e-308, 12.346257])
('Satellite Telemetry Data_Condition_monitor_37', [2.0860385728054386e-308, 13.003064])
('Data_head_state', [0, 253])
('Calibration Fields_Raw_DN_Signal_487', [0.0, 114.622635])
('Calibration Fields_Raw_DN_Signal_486', [0.0, 114.91045])
('Satellite Telemetry Data_Radar_primary_backup_status_3', [0.0, 0.0034358443188951663])
('Satellite Telemetry Data_Condition_monitor_32', [-7.382761, 2.490268])
('Calibration Fields_Raw_DN_Signal_278', [21.242596, 114.09752])
('Satellite Telemetry Data_Condition_monitor_33', [-6.963315620851946, 2.130193])
('Calibration Fields_Raw_DN_Signal_279', [20.20413, 114.06792])
('Calibration Fields_Raw_DN_Signal_483', [0.0, 111.460945])
('Calibration Fields_Raw_DN_Signal_482', [0.0, 102.71215])
('Calibration Fields_ReceiverPower_1', [0.0, 131.07])
('Calibration Fields_ReceiverPower_0', [0.0, 131.07])
('Calibration Fields_Raw_DN_Signal_1027', [17.376398, 101.117744])
('Calibration Fields_Raw_DN_Signal_1026', [20.489756, 104.694916])
('Calibration Fields_Raw_DN_Signal_1025', [17.146965, 104.178444])
('Calibration Fields_Raw_DN_Signal_1024', [19.533367, 108.95708])
('Calibration Fields_Raw_DN_Signal_1023', [19.62014, 103.51825])
('Calibration Fields_Raw_DN_Signal_1022', [13.033986, 109.319496])
('Calibration Fields_Raw_DN_Signal_1021', [18.84016, 101.65237])
('Calibration Fields_Raw_DN_Signal_1020', [18.71427, 101.612335])
('Calibration Fields_Raw_DN_Signal_1029', [19.652605, 101.44582])
('Calibration Fields_Raw_DN_Signal_1028', [19.699398, 103.153305])
('Calibration Fields_Raw_DN_Signal_427', [0.0, 114.76893])
('Calibration Fields_Raw_DN_Signal_426', [0.0, 114.91045])
('Calibration Fields_AmplifierPower_0', [0.0, 5.0])
('Calibration Fields_AmplifierPower_1', [0.0, 4.7843137])
('Calibration Fields_Raw_DN_Signal_488', [0.0, 114.76504])
('Calibration Fields_Raw_DN_Signal_139', [19.2846, 114.95538])
('Calibration Fields_Raw_DN_Signal_138', [13.987535, 113.69854])
('Satellite Telemetry Data_Condition_monitor_38', [2.086040694768851e-308, 11.028762])
('Calibration Fields_Raw_DN_Signal_131', [15.989956, 104.23652])
('Calibration Fields_Raw_DN_Signal_130', [21.753668, 114.02891])
('Calibration Fields_Raw_DN_Signal_133', [20.278591, 108.10857])
('Calibration Fields_Raw_DN_Signal_132', [21.093254, 101.24541])
('Calibration Fields_Raw_DN_Signal_135', [21.499884, 102.51662])
('Calibration Fields_Raw_DN_Signal_134', [19.220114, 114.40833])
('Calibration Fields_Raw_DN_Signal_137', [21.472898, 114.96283])
('Calibration Fields_Raw_DN_Signal_136', [20.49218, 115.010895])
('Calibration Fields_Raw_DN_Signal_148', [20.91447, 103.39998])
('Calibration Fields_Raw_DN_Signal_149', [0.0, 100.42946])
('Calibration Fields_Raw_DN_Signal_144', [20.34177, 114.471245])
('Calibration Fields_Raw_DN_Signal_145', [20.64458, 114.05419])
('Calibration Fields_Raw_DN_Signal_146', [21.089031, 101.07244])
('Calibration Fields_Raw_DN_Signal_147', [20.91447, 100.76589])
('Calibration Fields_Raw_DN_Signal_140', [19.986406, 114.90669])
('Calibration Fields_Raw_DN_Signal_141', [20.477615, 114.53326])
('Calibration Fields_Raw_DN_Signal_142', [20.845762, 114.504425])
('Calibration Fields_Raw_DN_Signal_143', [20.769135, 114.496155])
('Calibration Fields_Raw_DN_Signal_26', [15.540346, 100.5338])
('Calibration Fields_Raw_DN_Signal_27', [18.042673, 101.880356])
('Calibration Fields_Raw_DN_Signal_24', [19.581457, 111.75085])
('Calibration Fields_Raw_DN_Signal_25', [20.927645, 114.02199])
('Calibration Fields_Raw_DN_Signal_22', [16.452993, 114.50855])
('Calibration Fields_Raw_DN_Signal_23', [20.229952, 111.79348])
('Calibration Fields_Raw_DN_Signal_20', [20.890215, 113.71839])
('Calibration Fields_Raw_DN_Signal_21', [17.00325, 114.53326])
('Calibration Fields_Raw_DN_Signal_28', [16.09461, 101.664795])
('Calibration Fields_Raw_DN_Signal_29', [19.041067, 102.03813])
('Calibration Fields_Raw_DN_Signal_53', [20.33675, 114.111115])
('Calibration Fields_Raw_DN_Signal_52', [18.60338, 112.268])
('Calibration Fields_Raw_DN_Signal_51', [15.819212, 114.52915])
('Calibration Fields_Raw_DN_Signal_50', [21.698948, 114.90292])
('Calibration Fields_Raw_DN_Signal_57', [19.72839, 101.00071])
('Calibration Fields_Raw_DN_Signal_56', [19.19405, 101.35344])
('Calibration Fields_Raw_DN_Signal_55', [19.640827, 114.01968])
('Calibration Fields_Raw_DN_Signal_54', [18.793827, 114.471245])
('Calibration Fields_Raw_DN_Signal_59', [21.484484, 102.04723])
('Calibration Fields_Raw_DN_Signal_58', [21.176855, 100.56909])
